updated_at,experiment,run_name,model,split,rmse,mae,r2,target,rows,result_path,notes
2026-05-08T01:45:39,supervised_ensemble,catboost__optuna_lgbm__stacking,ensemble_equal,test,0.182310407971125,0.1305960448849872,0.9302984810517338,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__optuna_lgbm__stacking/metrics.json,"base_predictions=pred_catboost,pred_optuna_lgbm,pred_stacking"
2026-05-08T01:45:23,supervised_ensemble,catboost__xgboost,ensemble_weighted,test,0.18232970090667,0.1312576302229826,0.9302837279931332,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__xgboost/metrics.json,"base_predictions=pred_catboost,pred_xgboost"
2026-05-08T01:45:25,supervised_ensemble,catboost__stacking,ensemble_equal,test,0.1823804424318616,0.1307663256859777,0.930244919151884,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__stacking/metrics.json,"base_predictions=pred_catboost,pred_stacking"
2026-05-08T01:45:46,supervised_ensemble,catboost__xgboost__optuna_lgbm,ensemble_equal,test,0.1823928500144789,0.1309703004819904,0.9302354277682976,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__xgboost__optuna_lgbm/metrics.json,"base_predictions=pred_catboost,pred_xgboost,pred_optuna_lgbm"
2026-05-08T01:45:37,supervised_ensemble,catboost__xgboost__stacking,ensemble_weighted,test,0.1824192415045724,0.1310152718387101,0.930215237018242,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__xgboost__stacking/metrics.json,"base_predictions=pred_catboost,pred_xgboost,pred_stacking"
2026-05-08T01:45:23,supervised_ensemble,catboost__xgboost,ensemble_equal,test,0.1824229235838168,0.1312814883510146,0.9302124198195904,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__xgboost/metrics.json,"base_predictions=pred_catboost,pred_xgboost"
2026-05-08T01:45:25,supervised_ensemble,catboost__stacking,ensemble_weighted,test,0.1824717729707338,0.1307209040739856,0.9301750392439184,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__stacking/metrics.json,"base_predictions=pred_catboost,pred_stacking"
2026-05-08T01:45:32,supervised_ensemble,catboost__lgbm__optuna_lgbm,ensemble_equal,test,0.1825247659212701,0.130849524571508,0.9301344766085397,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__optuna_lgbm/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_optuna_lgbm"
2026-05-08T01:45:19,supervised_ensemble,catboost__lgbm,ensemble_weighted,test,0.1825417908303105,0.1311292393934152,0.9301214426550628,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm/metrics.json,"base_predictions=pred_catboost,pred_lgbm"
2026-05-08T01:45:41,supervised_ensemble,catboost__lgbm__xgboost__stacking,ensemble_weighted,test,0.1825851656144816,0.1311270364802474,0.930088230233602,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__xgboost__stacking/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_xgboost,pred_stacking"
2026-05-08T01:45:30,supervised_ensemble,catboost__lgbm__xgboost,ensemble_weighted,test,0.1825851688600028,0.1311270369906223,0.930088227748185,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__xgboost/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_xgboost"
2026-05-08T01:45:31,supervised_ensemble,catboost__lgbm__stacking,ensemble_weighted,test,0.1825931189804685,0.1309333200601238,0.9300821394211284,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__stacking/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_stacking"
2026-05-08T01:45:43,supervised_ensemble,catboost__lgbm__optuna_lgbm__stacking,ensemble_equal,test,0.1825982309074482,0.1306567884074367,0.9300782244871704,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__optuna_lgbm__stacking/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_optuna_lgbm,pred_stacking"
2026-05-08T01:45:19,supervised_ensemble,catboost__lgbm,ensemble_equal,test,0.1826620581042713,0.1311651646966952,0.9300293336418346,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm/metrics.json,"base_predictions=pred_catboost,pred_lgbm"
2026-05-08T01:45:37,supervised_ensemble,catboost__xgboost__stacking,ensemble_equal,test,0.182667962489428,0.1309687125032789,0.9300248100922236,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__xgboost__stacking/metrics.json,"base_predictions=pred_catboost,pred_xgboost,pred_stacking"
2026-05-08T01:45:42,supervised_ensemble,catboost__lgbm__xgboost__optuna_lgbm,ensemble_equal,test,0.182682254289921,0.130959030948629,0.9300138600541064,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__xgboost__optuna_lgbm/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_xgboost,pred_optuna_lgbm"
2026-05-08T01:45:47,supervised_ensemble,catboost__lgbm__xgboost__optuna_lgbm__stacking,ensemble_equal,test,0.1827523803667103,0.1308200947881201,0.9299601187049008,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__xgboost__optuna_lgbm__stacking/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_xgboost,pred_optuna_lgbm,pred_stacking"
2026-05-08T01:45:31,supervised_ensemble,catboost__lgbm__stacking,ensemble_equal,test,0.1827551586554266,0.1308328935391967,0.929957989129454,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__stacking/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_stacking"
2026-05-08T01:45:30,supervised_ensemble,catboost__lgbm__xgboost,ensemble_equal,test,0.1828410034549931,0.1312134358493461,0.9298921726064234,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__xgboost/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_xgboost"
2026-05-08T01:31:48,tree_models,default,ensemble_mean,test,0.1828410034886656,0.1312134358175463,0.929892172580601,log1p_lh_vs_rent_median_ratio_winsor,9074,res/tree_models/metrics.json,
2026-05-08T01:45:41,supervised_ensemble,catboost__lgbm__xgboost__stacking,ensemble_equal,test,0.1829225451795109,0.1309904769831617,0.9298296265934064,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__xgboost__stacking/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_xgboost,pred_stacking"
2026-05-08T01:45:26,supervised_ensemble,catboost__optuna_lgbm,ensemble_weighted,test,0.1830104220384823,0.1311029125243417,0.92976219003796,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__optuna_lgbm/metrics.json,"base_predictions=pred_catboost,pred_optuna_lgbm"
2026-05-08T01:45:29,supervised_ensemble,optuna_lgbm__stacking,ensemble_equal,test,0.1831026559257843,0.1305781135899041,0.9296913750685192,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/optuna_lgbm__stacking/metrics.json,"base_predictions=pred_optuna_lgbm,pred_stacking"
2026-05-08T01:45:46,supervised_ensemble,catboost__xgboost__optuna_lgbm,ensemble_weighted,test,0.1831094125866626,0.1311021138145453,0.9296861860634992,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__xgboost__optuna_lgbm/metrics.json,"base_predictions=pred_catboost,pred_xgboost,pred_optuna_lgbm"
